property_url,property_id,text,style,full_street_line,street,unit,zip_code,beds,full_baths,half_baths,sqft,days_on_mls,list_price,list_date,new_construction,latitude,longitude,neighborhoods,county,fips_code,parking_garage,primary_photo,alt_photos,walking_time_min,transit_time_min,driving_time_min,price_per_min_walk,price_per_min_transit,price_per_min_drive,price_per_sqft,bed_bath_ratio,avg_zipcode_price,neighborhood_travel_score
https://www.realtor.com/rentals/details/107-Heath-St-Apt-3_Boston_MA_02130_M96792-41074,9679241074,Spacious 2 bed plus office/small bedroom available NOW! Eat in kitchen with gas stove. Off Street Parking. Pet Friendly. Close to public transportation T and buses.,APARTMENT,107 Heath St Apt 3,107 Heath St,Apt 3,2130,2,1,0,700.0,8,2400.0,2024-11-01,False,42.326481,-71.102425,"Mission Hill, Fenway - Kenmore",Suffolk,25025.0,,http://ap.rdcpix.com/bc619c1068a0558b8b39f07e2a577e9al-m886913531od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/bc619c1068a0558b8b39f07e2a577e9al-m886913531od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bc619c1068a0558b8b39f07e2a577e9al-m3648792342od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bc619c1068a0558b8b39f07e2a577e9al-m1694805030od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bc619c1068a0558b8b39f07e2a577e9al-m3201333808od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bc619c1068a0558b8b39f07e2a577e9al-m2611946603od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bc619c1068a0558b8b39f07e2a577e9al-m1779199901od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bc619c1068a0558b8b39f07e2a577e9al-m670331879od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bc619c1068a0558b8b39f07e2a577e9al-m1105637672od-w480_h360_x2.webp?w=1080&q=75",22,26,7,109.09,92.31,342.86,3.43,2.0,3147.83,18.33
https://www.realtor.com/rentals/details/28-S-Huntington-Ave-Apt-103_Boston_MA_02130_M95296-11378,9529611378,"LEASE BREAK! AVAILABLE NOW! .... UPDATED, NICE, CLEAN STUDIO IN JP! These are the cheapest but cleanest studios you can find around this area! Clean, well maintained, good mgmt. Located directly on the Green Line (E-Train) and the #39 Bus, This location is convenient to the entire city! Heat and hot water are included in the rent. PLEASE NOTE! Single occupancy only (no couples) & no pets. Move-in costs: 1st month, last month, refundable security deposit (1 month), and broker fee (1 month). Sorry, these move-in costs are non-negotiable, a payment plan MAY BE possible! These are the nicest and cheapest in Boston! Some wicked local facts! South Huntington Avenue is a major thoroughfare in the Jamaica Plain neighborhood of Boston, Massachusetts. The street is known for its convenient location, public transportation options, and easy access to many local amenities. If you're looking to rent an apartment in the area, here are a few things to keep in mind: Rental Prices: Rental prices in the South Huntington Avenue area vary depending on the size and location of the apartment. However, in general, you can expect to pay anywhere from $2, 000 to $3, 500 per month for a one or two-bedroom apartment. THATS WHY THESE STUDIOS ARE A STEAL!!!! Public Transportation: South Huntington Avenue is well-served by public transportation, with multiple bus and train lines running through the area. The E Line of the MBTA's Green Line runs directly down South Huntington Avenue, providing easy access to downtown Boston and other nearby neighborhoods. Local Amenities: There are many local amenities in the South Huntington Avenue area, including restaurants, cafes, bars, and shops. The area is also home to several parks and green spaces, including Jamaica Pond, which is a popular spot for jogging, biking, and picnicking. South Huntington Avenue is a main street in the Jamaica Plain neighborhood of Boston, Massachusetts. It is a bustling thoroughfare with a variety of shops, restaurants, and apartments, and it is also home to several major medical institutions, including Brigham and Women's Hospital and Dana-Farber Cancer Institute. If you are considering renting an apartment in the South Huntington Avenue neighborhood, there are a few things you should know. First, the area is very convenient for those who work or study at the nearby medical facilities, as well as for students at nearby colleges like Northeastern University and Simmons University. However, the neighborhood can be quite busy and noisy, particularly during peak hours, as it is a major traffic artery in the city. Neighborhood Vibe: Jamaica Plain is known for its diverse community, lively arts scene, and historic architecture. The South Huntington Avenue area is home to a mix of young professionals, families, and students, and has a relaxed, friendly vibe. Massachusetts College of Pharmacy and Health Sciences Walk: 15 min (0.8 mi) Massachusetts College of Art and Design Walk: 16 min (0.8 mi) Simmons College Walk: 24 min (1.2 mi) Bus: 39 S Huntington Ave @ Huntington Ave (0.08 mi) Bus: 60 Brookline Ave opp Aspinwall Ave (0.29 mi) Bus: 14 Heath St @ S Huntington Ave (0.16 mi) Tram: E Riverway (0.05 mi) Bus: 66 Huntington Ave @ S Huntington Ave (0.08 mi) Bus: Green Line D Shuttle 678 Brookline Ave opp Pearl St (0.16 mi) Tram: D Brookline Village (0.27 mi) Bus: 65 Washington St @ Harvard St (0.39 mi) Bus: 47 Longwood Ave @ Blackfan St (0.59 mi)",APARTMENT,28 S Huntington Ave Apt 103,28 S Huntington Ave,Apt 103,2130,0,1,0,225.0,2,1800.0,2024-11-07,False,42.331299,-71.111534,"Mission Hill, Fenway - Kenmore",Suffolk,25025.0,,http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m1462651958od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m1462651958od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m4105757112od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m2464162439od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m3081886813od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m931043104od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m2909503204od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m2034502419od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m297389567od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m4209936841od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m2625802060od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m2350905826od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m4043865490od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m47320067od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m1165922782od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m3045906849od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m1476700689od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m1971282794od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m1312664070od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m1196497061od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m1671325657od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m4289432452od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m1036051732od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m1232458039od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m2022127309od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m3124416702od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m3684853975od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m3331427733od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/845621733c2cac1341858f7af0d12b51l-m3146649048od-w480_h360_x2.webp?w=1080&q=75",24,12,7,75.0,150.0,257.14,8.0,0.0,3147.83,14.33
https://www.realtor.com/rentals/details/40-82-S-Huntington-Ave-Unit-4_Boston_MA_02130_M91046-58338,9104658338,"Spacious 1 bedroom on 40-82 South Huntington Ave in Mission Hill. Just a step from Green Line. Large living room Queen size bedroom Updated kitchen, granite counter top Large closet Rent included heat & hot water Laundry in building.",APARTMENT,40-82 S Huntington Ave Unit 4,40-82 S Huntington Ave,Unit 4,2130,1,1,0,500.0,63,2000.0,2024-09-07,False,42.329731,-71.110878,"Mission Hill, Fenway - Kenmore",Suffolk,25025.0,,http://ap.rdcpix.com/bcd406aed94ad33b4d0d46fb33b0295el-m685350078od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/bcd406aed94ad33b4d0d46fb33b0295el-m685350078od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bcd406aed94ad33b4d0d46fb33b0295el-m2903914084od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bcd406aed94ad33b4d0d46fb33b0295el-m749928106od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bcd406aed94ad33b4d0d46fb33b0295el-m3961082055od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bcd406aed94ad33b4d0d46fb33b0295el-m94370128od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bcd406aed94ad33b4d0d46fb33b0295el-m3615977420od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bcd406aed94ad33b4d0d46fb33b0295el-m436117170od-w480_h360_x2.webp?w=1080&q=75",27,14,8,74.07,142.86,250.0,4.0,1.0,3147.83,16.33
https://www.realtor.com/rentals/details/42-Day-St_Jamaica-Plain_MA_02130_M43026-92504,4302692504,3 bed 1 bath in Jamaica Plain near Heath St. Quick walk to the green line and Mission Hill. Great access to universities and JP's best shops and restaurants. Updated kitchen and formal dining room + living room. Private back porch and shared yard. Basement laundry. Parking available for rent.,APARTMENT,42 Day St Unit 42,42 Day St,Unit 42,2130,3,1,0,1200.0,17,3575.0,2024-10-23,False,42.325192,-71.107451,"Jamaica Plain, Hyde Square",Suffolk,25025.0,,http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m3583679503od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m3583679503od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m2453814026od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m1543861253od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m308233690od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m957768970od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m2327014421od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m3625488842od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m3065872083od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m3266762502od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m3296248553od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m1147091906od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/131e9bbf7905405f73165947b841fa6al-m2846908149od-w480_h360_x2.webp?w=1080&q=75",29,20,8,123.28,178.75,446.88,2.98,3.0,3147.83,19.0
https://www.realtor.com/rentals/details/4-Buckley-Ave-Apt-3_Boston_MA_02130_M45994-36096,4599436096,"Available Now! This tucked-away treasure is conveniently located on a private street at a GREAT price you can't beat! This MASSIVE unit features original hardwood floors through the bedrooms and living room, BIG eat-in kitchen with farm-sink and gas stove, versatile use rooms for large bedroom and an office or living room, HUGE bathroom with tub/shower and double vanity, newer vinyl windows, updated electric, gas heat, coin-op laundry in the basement and parking available for rent at $100/month. NICE. Local amenities such as Blue Nile Cafe, Whole Foods, Stop and Shop, Tres Gatos and MORE close by, plus the MBTA Orange Line @ Jackson Square Hub with various bus routes moments from your door. PERFECT for the daily commuter! Text Rachael Kulik NOW to to schedule an in person appointment after seeing the virtual tour. Tour at: bit.ly/4buckley3 First, Security, Full Fee, Lease until 5/31 or 6/30 next year required. Cats ok; dogs negotiable with references.",APARTMENT,4 Buckley Ave Unit 3A,4 Buckley Ave,Unit 3A,2130,1,1,0,1049.0,37,2450.0,2024-10-03,False,42.322311,-71.103342,"Jamaica Plain, Hyde Square",Suffolk,25025.0,,http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m2777918662od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m2777918662od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m1541860716od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m147291403od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m1265864063od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m2078763742od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m2155519593od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m979753663od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m3964139092od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m282000820od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m4143114336od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m892876910od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m1594540776od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m215365301od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m3628191515od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m4099953579od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m2350400326od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bb4b11d8254a75e6c75d0e003fb12ed1l-m4185209836od-w480_h360_x2.webp?w=1080&q=75",29,24,9,84.48,102.08,272.22,2.34,1.0,3147.83,20.67
https://www.realtor.com/rentals/details/8-Buckley-Ave-Apt-1_Boston_MA_02130_M90560-29230,9056029230,"Beautiful 3 bedroom unit in the first floor in a multi-family house located walking distance from Jackson Square, orange line train station in Jamaica Plain. Granite kitchen with stainless steel appliances. Kitchen also has a beautiful glass back splash. Natural stone tile. Stylish designer bathroom. Crown molding and recessed lighting. Walnut stained hardwood floors throughout. 43 Flat screen tv in the common room. Coin-op laundry in the basement.. On-street parking with a residential permit.",APARTMENT,8 Buckley Ave Apt 1,8 Buckley Ave,Apt 1,2130,3,1,0,1000.0,47,3300.0,2024-09-23,False,42.3223,-71.103531,"Jamaica Plain, Hyde Square",Suffolk,25025.0,,http://ap.rdcpix.com/dff1ef879786c66ca8ecbdd0f986223bl-m17656417od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/dff1ef879786c66ca8ecbdd0f986223bl-m17656417od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/dff1ef879786c66ca8ecbdd0f986223bl-m2663523915od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/dff1ef879786c66ca8ecbdd0f986223bl-m243979146od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/dff1ef879786c66ca8ecbdd0f986223bl-m16606773od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/dff1ef879786c66ca8ecbdd0f986223bl-m2185143853od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/dff1ef879786c66ca8ecbdd0f986223bl-m3492970363od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/dff1ef879786c66ca8ecbdd0f986223bl-m3939288768od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/dff1ef879786c66ca8ecbdd0f986223bl-m2575171163od-w480_h360_x2.webp?w=1080&q=75",29,24,8,113.79,137.5,412.5,3.3,3.0,3147.83,20.33
https://www.realtor.com/rentals/details/74-S-Huntington-Ave-Apt-3_Boston_MA_02130_M92670-43016,9267043016,"Take a look at this lovely apartment, located perfectly for access to all areas of Boston. The apartment features tons of sunlight, a separate living room and bedroom, and an open concept kitchen with tons of space. Just a stones throw away from all of the Longwood Medical Center hospitals and the VA Medical Center. Mere steps from the MBTA Green Line, hop aboard and take the train to all corners of the city with ease! Professionally managed, heat and hot water included, this apartment is priced to rent, so don't delay! PHOTOS ARE SAMPLE ONLY UNITS VARY.",APARTMENT,74 S Huntington Ave Apt 3,74 S Huntington Ave,Apt 3,2130,1,1,0,600.0,58,2200.0,2024-09-12,False,42.329849,-71.110931,"Mission Hill, Fenway - Kenmore",Suffolk,25025.0,,http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m631337942od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m631337942od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m2004887963od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m2335992979od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m4180690007od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m3029134987od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m3326936436od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m287518066od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m1233392575od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m192727345od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/faa7877322b5d149a809a036c41726d5l-m2106456196od-w480_h360_x2.webp?w=1080&q=75",27,12,7,81.48,183.33,314.29,3.67,1.0,3147.83,15.33
https://www.realtor.com/rentals/details/40-Jamaicaway-Apt-6_Boston_MA_02130_M36534-12359,3653412359,"RIME LOCATION! Commmuter's dream. 0.5 mile radius from both the the Longwood Medical Area and Brookline Village. Conveniently located along the Emerald Necklace Conservancy and at Boston/ Brookline Village border, this sunny 2 bed/ 1 bath spacious condo is what you need! 40 Jway features include: high ceilings, hardwood floors, and western exposure. Picturesque views of the Leverett Pond and Olmsted Park from the living room and each bedroom! The property is professionally managed and well maintaine. Rent includes water and heat. Laundry and bike storage are in the building. Nearby transportation options are Green Line stops on both E and D lines, bus routes 39, 60, and 66, on street parking, or biking/ walking paths. A+ location.",CONDOS,40 Jamaicaway Apt 6,40 Jamaicaway,Apt 6,2130,2,1,0,900.0,25,2600.0,2024-10-15,False,42.330485,-71.112103,"Mission Hill, Fenway - Kenmore",Suffolk,25025.0,,http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m1703823588od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m1703823588od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m1233150405od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m1508633107od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m3731118839od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m4134371154od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m1556257746od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m2201293482od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m2384060496od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m195138340od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m3868064956od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m1474037890od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m126791248od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m225556720od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m2844619182od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ac4f056ebd295d8f1df1bfe726e04b5bl-m2608991803od-w480_h360_x2.webp?w=1080&q=75",27,14,7,96.3,185.71,371.43,2.89,2.0,3147.83,16.0
https://www.realtor.com/rentals/details/78-S-Huntington-Ave-Apt-14_Boston_MA_02130_M91350-49173,9135049173,"Take a look at this lovely apartment, located perfectly for access to all areas of Boston. The apartment features tons of sunlight, a separate living room and bedroom, and an open concept kitchen with tons of space. Just a stones throw away from all of the Longwood Medical Center hospitals and the VA Medical Center. Mere steps from the MBTA Green Line, hop aboard and take the train to all corners of the city with ease! Professionally managed, heat and hot water included, this apartment is priced to rent, so don't delay! Photos are sample only units vary.",APARTMENT,78 S Huntington Ave Unit 14K,78 S Huntington Ave,Unit 14K,2130,1,1,0,600.0,43,2200.0,2024-09-27,False,42.329731,-71.110878,"Mission Hill, Fenway - Kenmore",Suffolk,25025.0,,http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m1233392575od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m1233392575od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m3029134987od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m192727345od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m2335992979od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m2106456196od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m4180690007od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m3326936436od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m287518066od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m2004887963od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/ff2fc8abab5323d159258ac76bc8efc1l-m631337942od-w480_h360_x2.webp?w=1080&q=75",27,11,8,81.48,200.0,275.0,3.67,1.0,3147.83,15.33
https://www.realtor.com/rentals/details/31-Gay-Head-St-Apt-1_Boston_MA_02130_M94174-11101,9417411101,"Last week to save! Book a stay of 6+ months now and use code LONGSTAY150 to unlock your $150 off. Don't miss outgrab it before it's gone! Queen bedroom in a 3 bedroom / 1 bathroom apartment! Check out 3D tour now: This Queen room in Jamaica Plain is available on a 12 month lease or a flexible short term (31 to 364 days) lease. You pick your custom start and end date. Monthly rent rate is determined by furnishing preference, move-in date and move-out date. Speak to a June representative for recommendations on the best stay duration for the lowest rate, and learn more about this home on the June website: Amenities of this home: Furnished Common Areas, Wi-Fi - Paid separately (High-Speed), Guarantors Allowed, 32-inch Flat-Screen TV, Street parking - City permit required, Hardwood Flooring, Microwave, Oven, Refrigerator, Heating | Baseboard Gas heating, also, this unit is conveniently located, several local parks, restaurants and bars are just minutes away. About June Homes: Welcome to the easiest rental experience of your life. Rent furnished or unfurnished apartments on a 12 month lease or a flexible short term (31 to 364 days). As a resident, youll have access to 24/7 support and monthly cleanings of the homes shared spaces. Sign up now to apply online for your next home with June: Brokers accepted. 5% commission on rent. Kindly note that the minimum stay duration would be 31 days. Use this listing ID when speaking to June team: #1769 A Mon - Fri 8am - 6pm EST (New York Time)",APARTMENT,31 Gay Head St Unit 1A,31 Gay Head St,Unit 1A,2130,3,1,0,202.0,30,1400.0,2024-10-10,False,42.324814,-71.104668,"Jamaica Plain, Hyde Square",Suffolk,25025.0,,http://ap.rdcpix.com/d5d7dffa5943426ac93622ada2d6f10cl-m2250439112od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/d5d7dffa5943426ac93622ada2d6f10cl-m2250439112od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d5d7dffa5943426ac93622ada2d6f10cl-m3270193093od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d5d7dffa5943426ac93622ada2d6f10cl-m3631294863od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d5d7dffa5943426ac93622ada2d6f10cl-m2762553853od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d5d7dffa5943426ac93622ada2d6f10cl-m810189071od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d5d7dffa5943426ac93622ada2d6f10cl-m556359823od-w480_h360_x2.webp?w=1080&q=75",26,24,7,53.85,58.33,200.0,6.93,3.0,3147.83,19.0
